Row_ID,Date,Product_ID,Product_Name,Category,Store_ID,Store_Location,Units_Sold,Price,Discount_Percentage,Revenue,Promotion_Flag,Stock_Availability,Day_of_Week,Month,Quarter,Holiday_Flag,Holiday_Name,Is_Weekend,Season,Weather,Local_Event_Flag,Competitor_Price,Economic_Indicator,Sales_Channel,Customer_Segment,Marketing_Spend
35,04-02-2024,P002,Bluetooth Speaker,Electronics,S04,Delhi,21,4517.62,0,94870.02,0,1,Sunday,February,Q1,0,,1,Winter,Stormy,0,4535.62,107.1,Wholesale,Wholesale,470.13
36,05-02-2024,P004,Notebook Pack,Stationery,S03,Mumbai,55,2270.23,15,106133.25,1,1,Monday,February,Q1,0,,0,Winter,Clear,0,2344.42,96.87,In-Store,Wholesale,3438.2
37,06-02-2024,P007,Yoga Mat,Sports,S03,Mumbai,30,2131.52,0,63945.6,0,1,Tuesday,February,Q1,0,,0,Winter,Stormy,0,2207.11,108.54,Wholesale,Wholesale,150.47
38,07-02-2024,P001,Wireless Mouse,Electronics,S03,Mumbai,0,1577.19,5,0,1,0,Wednesday,February,Q1,0,,0,Winter,Clear,0,1566.15,101.63,Online,Wholesale,4995.27
39,08-02-2024,P003,Office Chair,Furniture,S01,Chennai,0,1562.17,15,0,1,0,Thursday,February,Q1,0,,0,Winter,Cloudy,0,1661.66,106.27,Wholesale,Corporate,2634.09
40,09-02-2024,P004,Notebook Pack,Stationery,S02,Bengaluru,2,317.24,0,634.48,1,0,Friday,February,Q1,0,,0,Winter,Sunny,0,311.81,104.45,Online,Wholesale,7115.37
41,10-02-2024,P008,Coffee Maker,Appliances,S04,Delhi,90,1371.13,15,104891.45,1,1,Saturday,February,Q1,0,,1,Winter,Sunny,0,1294.03,107.06,Wholesale,Wholesale,4913.22
42,11-02-2024,P004,Notebook Pack,Stationery,S01,Chennai,94,2391.02,20,179804.7,1,1,Sunday,February,Q1,0,,1,Winter,Clear,1,2436.67,109.25,In-Store,Wholesale,8242.56
43,12-02-2024,P007,Yoga Mat,Sports,S04,Delhi,42,4506.6,15,160885.62,1,1,Monday,February,Q1,0,,0,Winter,Stormy,0,4733.53,107.6,In-Store,Wholesale,5103.67
44,13-02-2024,P004,Notebook Pack,Stationery,S03,Mumbai,62,2311.39,15,121810.25,1,1,Tuesday,February,Q1,0,,0,Winter,Rainy,0,2235.51,108.4,Online,Retail,1932.89
45,14-02-2024,P007,Yoga Mat,Sports,S02,Bengaluru,29,3590.81,0,104133.49,1,1,Wednesday,February,Q1,0,,0,Winter,Cloudy,1,3566.34,95.93,In-Store,Corporate,9095.97
46,15-02-2024,P001,Wireless Mouse,Electronics,S04,Delhi,31,2489.5,0,77174.5,0,1,Thursday,February,Q1,0,,0,Winter,Stormy,1,2612.74,103.19,Wholesale,Retail,244.11
47,16-02-2024,P005,LED Desk Lamp,Home,S04,Delhi,44,2531.08,5,105799.14,1,1,Friday,February,Q1,0,,0,Winter,Stormy,0,2703.45,108.79,Wholesale,Wholesale,756.18
48,17-02-2024,P007,Yoga Mat,Sports,S01,Chennai,85,602.95,5,48688.21,1,1,Saturday,February,Q1,0,,1,Winter,Stormy,0,548.72,100.69,Online,Corporate,3605.04
49,18-02-2024,P007,Yoga Mat,Sports,S03,Mumbai,70,3809.65,20,213340.4,1,1,Sunday,February,Q1,0,,1,Winter,Cloudy,0,3787.03,106.24,Online,Corporate,2630.11
50,19-02-2024,P002,Bluetooth Speaker,Electronics,S01,Chennai,0,3820.32,0,0,0,1,Monday,February,Q1,0,,0,Winter,Clear,0,3620.55,102.1,Online,Wholesale,473.88
51,20-02-2024,P008,Coffee Maker,Appliances,S03,Mumbai,14,3881.11,0,54335.54,0,1,Tuesday,February,Q1,0,,0,Winter,Cloudy,0,3942.19,108.93,Wholesale,Wholesale,454.01
52,21-02-2024,P007,Yoga Mat,Sports,S04,Delhi,0,4719.06,0,0,0,0,Wednesday,February,Q1,0,,0,Winter,Rainy,0,4905.17,99.52,Wholesale,Wholesale,402.76
53,22-02-2024,P001,Wireless Mouse,Electronics,S03,Mumbai,67,2757.18,15,157021.4,1,1,Thursday,February,Q1,0,,0,Winter,Sunny,1,2838.54,95.19,In-Store,Corporate,1502.62
54,23-02-2024,P006,Running Shoes,Apparel,S04,Delhi,41,3595.08,5,140028.37,1,1,Friday,February,Q1,0,,0,Winter,Clear,0,3678.42,108.79,In-Store,Corporate,4637.96
55,24-02-2024,P005,LED Desk Lamp,Home,S03,Mumbai,70,4288.22,20,240140.32,1,1,Saturday,February,Q1,0,,1,Winter,Cloudy,0,4068.55,101.97,Wholesale,Wholesale,4100.4
56,25-02-2024,P001,Wireless Mouse,Electronics,S04,Delhi,40,4284.57,0,171382.8,1,1,Sunday,February,Q1,0,,1,Winter,Cloudy,0,4147.75,108.2,Wholesale,Corporate,5780.01
57,26-02-2024,P004,Notebook Pack,Stationery,S01,Chennai,52,1358.51,5,67110.39,1,1,Monday,February,Q1,0,,0,Winter,Clear,0,1410.3,104.69,In-Store,Corporate,8032.86
58,27-02-2024,P002,Bluetooth Speaker,Electronics,S03,Mumbai,84,1263.66,15,90225.32,1,1,Tuesday,February,Q1,0,,0,Winter,Cloudy,1,1230.56,103.3,In-Store,Corporate,9968
59,28-02-2024,P006,Running Shoes,Apparel,S03,Mumbai,17,3573.7,0,60752.9,0,1,Wednesday,February,Q1,0,,0,Winter,Rainy,0,3731.86,99.73,Wholesale,Wholesale,475.44
60,29-02-2024,P003,Office Chair,Furniture,S02,Bengaluru,80,1238.65,5,94137.4,1,1,Thursday,February,Q1,0,,0,Winter,Clear,1,1262.63,109.71,Online,Corporate,2661.09
61,01-03-2024,P003,Office Chair,Furniture,S03,Mumbai,73,267.91,10,17601.69,1,1,Friday,March,Q1,0,,0,Spring,Cloudy,0,293.32,103.3,Wholesale,Retail,6559.76
62,02-03-2024,P008,Coffee Maker,Appliances,S01,Chennai,45,4389.05,10,177756.52,1,1,Saturday,March,Q1,0,,1,Spring,Stormy,0,4336.79,97.77,Online,Corporate,9440.1
63,03-03-2024,P008,Coffee Maker,Appliances,S01,Chennai,44,4146.16,5,173309.49,1,1,Sunday,March,Q1,0,,1,Spring,Sunny,1,4253.5,95.8,Online,Wholesale,9516.69
64,04-03-2024,P002,Bluetooth Speaker,Electronics,S02,Bengaluru,90,768.57,20,55337.04,1,1,Monday,March,Q1,0,,0,Spring,Clear,1,813.26,98.39,Wholesale,Corporate,4779.89
65,05-03-2024,P008,Coffee Maker,Appliances,S03,Mumbai,48,4328.8,5,197393.28,1,1,Tuesday,March,Q1,0,,0,Spring,Clear,1,3948.06,109.4,Online,Retail,6442.39
66,06-03-2024,P005,LED Desk Lamp,Home,S01,Chennai,51,953.87,0,48647.37,0,1,Wednesday,March,Q1,0,,0,Spring,Sunny,0,944.43,103.91,In-Store,Retail,115.74
67,07-03-2024,P005,LED Desk Lamp,Home,S04,Delhi,0,541.66,0,0,0,0,Thursday,March,Q1,0,,0,Spring,Rainy,0,499.93,98.37,Online,Corporate,413.32
68,08-03-2024,P002,Bluetooth Speaker,Electronics,S01,Chennai,78,996.43,0,77721.54,0,1,Friday,March,Q1,1,Holi,0,Spring,Sunny,0,1034.03,105.5,In-Store,Wholesale,269.99
69,09-03-2024,P008,Coffee Maker,Appliances,S01,Chennai,55,3070.58,5,160437.8,1,1,Saturday,March,Q1,0,,1,Spring,Clear,0,2779.41,98.43,Wholesale,Wholesale,6077.67
70,10-03-2024,P001,Wireless Mouse,Electronics,S03,Mumbai,82,2965.99,20,194568.94,1,1,Sunday,March,Q1,0,,1,Spring,Stormy,1,3055.87,108.74,Online,Wholesale,4640.91
71,11-03-2024,P008,Coffee Maker,Appliances,S01,Chennai,51,2456.05,5,118995.62,1,1,Monday,March,Q1,0,,0,Spring,Cloudy,0,2631.77,99.95,Wholesale,Corporate,3238.07
72,12-03-2024,P007,Yoga Mat,Sports,S01,Chennai,38,2383.16,0,90560.08,0,1,Tuesday,March,Q1,0,,0,Spring,Sunny,0,2557.09,107.37,Online,Wholesale,434.68
73,13-03-2024,P008,Coffee Maker,Appliances,S04,Delhi,75,460.18,10,31062.15,1,1,Wednesday,March,Q1,0,,0,Spring,Clear,0,471.72,106.4,Online,Corporate,5717.59
74,14-03-2024,P005,LED Desk Lamp,Home,S04,Delhi,53,4428.06,5,222952.82,1,1,Thursday,March,Q1,0,,0,Spring,Sunny,1,4693.14,105.65,In-Store,Wholesale,629.91
75,15-03-2024,P007,Yoga Mat,Sports,S01,Chennai,61,1278.56,20,62393.73,1,1,Friday,March,Q1,0,,0,Spring,Stormy,0,1316.33,97.31,Wholesale,Corporate,5334.28
76,16-03-2024,P005,LED Desk Lamp,Home,S04,Delhi,59,4206.67,5,235783.85,1,1,Saturday,March,Q1,0,,1,Spring,Stormy,1,3907.7,97.86,Wholesale,Wholesale,7589.78
77,17-03-2024,P003,Office Chair,Furniture,S01,Chennai,102,1525.99,20,124520.78,1,1,Sunday,March,Q1,0,,1,Spring,Cloudy,1,1454.93,95.04,Wholesale,Corporate,8456.02
78,18-03-2024,P008,Coffee Maker,Appliances,S02,Bengaluru,59,2343.43,5,131349.25,1,1,Monday,March,Q1,0,,0,Spring,Cloudy,1,2466.63,100.66,In-Store,Retail,9817.36
79,19-03-2024,P004,Notebook Pack,Stationery,S04,Delhi,83,1321.1,20,87721.04,1,1,Tuesday,March,Q1,0,,0,Spring,Sunny,0,1385.76,105.58,In-Store,Corporate,9889.93
80,20-03-2024,P003,Office Chair,Furniture,S04,Delhi,0,4831.16,0,0,0,1,Wednesday,March,Q1,0,,0,Spring,Stormy,0,4856.23,101.85,Wholesale,Retail,204.99
81,21-03-2024,P003,Office Chair,Furniture,S01,Chennai,0,2453.55,0,0,0,0,Thursday,March,Q1,0,,0,Spring,Stormy,0,2626.16,107.79,Wholesale,Corporate,477.07
82,22-03-2024,P008,Coffee Maker,Appliances,S01,Chennai,21,3163.81,0,66440.01,0,1,Friday,March,Q1,0,,0,Spring,Sunny,0,3466.48,106.41,Wholesale,Retail,221.84
83,23-03-2024,P005,LED Desk Lamp,Home,S01,Chennai,113,420.76,20,38036.7,1,1,Saturday,March,Q1,0,,1,Spring,Cloudy,0,410.23,97.18,Wholesale,Corporate,5876.32
84,24-03-2024,P003,Office Chair,Furniture,S02,Bengaluru,75,1040.33,10,70222.28,1,1,Sunday,March,Q1,0,,1,Spring,Clear,0,1039.84,103.75,Online,Corporate,6560.09
85,25-03-2024,P008,Coffee Maker,Appliances,S03,Mumbai,67,3400.84,20,182285.02,1,1,Monday,March,Q1,0,,0,Spring,Cloudy,1,3168.21,101.63,In-Store,Wholesale,3341.97
86,26-03-2024,P007,Yoga Mat,Sports,S03,Mumbai,22,2392.81,0,52641.82,0,1,Tuesday,March,Q1,0,,0,Spring,Stormy,0,2267.05,103.58,Wholesale,Corporate,496.35
87,27-03-2024,P005,LED Desk Lamp,Home,S01,Chennai,46,4894.13,15,191360.48,1,1,Wednesday,March,Q1,0,,0,Spring,Cloudy,0,4958.66,105.29,Wholesale,Retail,9150.86
88,28-03-2024,P008,Coffee Maker,Appliances,S03,Mumbai,25,3923.56,0,98089,0,1,Thursday,March,Q1,0,,0,Spring,Rainy,1,3727.87,106.33,Wholesale,Wholesale,419.17
89,29-03-2024,P002,Bluetooth Speaker,Electronics,S01,Chennai,51,1682.88,5,81535.54,1,1,Friday,March,Q1,0,,0,Spring,Clear,0,1761.09,96.35,In-Store,Corporate,7601.07
90,30-03-2024,P003,Office Chair,Furniture,S02,Bengaluru,98,834.37,10,73591.43,1,1,Saturday,March,Q1,0,,1,Spring,Clear,1,903.37,107.46,In-Store,Corporate,9690.15
91,31-03-2024,P005,LED Desk Lamp,Home,S03,Mumbai,43,4060.32,5,165864.07,1,1,Sunday,March,Q1,0,,1,Spring,Rainy,0,4352.78,105.86,In-Store,Wholesale,3974.86
92,01-04-2024,P007,Yoga Mat,Sports,S01,Chennai,70,1469.4,0,102858,1,1,Monday,April,Q2,0,,0,Spring,Cloudy,1,1434.44,104.58,In-Store,Retail,6910.95
93,02-04-2024,P008,Coffee Maker,Appliances,S01,Chennai,43,3173.82,10,122826.83,1,1,Tuesday,April,Q2,0,,0,Spring,Clear,0,3267.54,104.53,In-Store,Wholesale,3370.81
94,03-04-2024,P007,Yoga Mat,Sports,S01,Chennai,39,870.93,0,33966.27,0,1,Wednesday,April,Q2,0,,0,Spring,Sunny,0,824.74,103.06,In-Store,Corporate,185.51
95,04-04-2024,P007,Yoga Mat,Sports,S02,Bengaluru,52,4449.99,15,196689.56,1,1,Thursday,April,Q2,0,,0,Spring,Stormy,1,4368.21,109.27,Online,Wholesale,4020.03
96,05-04-2024,P008,Coffee Maker,Appliances,S04,Delhi,36,4762.66,20,137164.61,1,1,Friday,April,Q2,0,,0,Spring,Sunny,0,4805.02,109.67,In-Store,Retail,4282.33
97,06-04-2024,P004,Notebook Pack,Stationery,S01,Chennai,60,4755.25,20,228252,1,1,Saturday,April,Q2,0,,1,Spring,Sunny,0,4890.02,103.96,Online,Retail,7974.55
98,07-04-2024,P004,Notebook Pack,Stationery,S02,Bengaluru,2,3977.49,0,7954.98,0,0,Sunday,April,Q2,0,,1,Spring,Rainy,1,3751.53,108.05,In-Store,Retail,394.32
99,08-04-2024,P001,Wireless Mouse,Electronics,S03,Mumbai,0,4320.35,0,0,0,0,Monday,April,Q2,0,,0,Spring,Cloudy,0,3983.3,108,Online,Retail,179.12
100,09-04-2024,P004,Notebook Pack,Stationery,S03,Mumbai,57,275.75,0,15717.75,0,1,Tuesday,April,Q2,0,,0,Spring,Stormy,1,254.44,95.95,In-Store,Corporate,256.62
101,10-04-2024,P002,Bluetooth Speaker,Electronics,S04,Delhi,42,2618.43,10,98976.65,1,1,Wednesday,April,Q2,0,,0,Spring,Clear,0,2596.46,109.46,Online,Corporate,8549.34
102,11-04-2024,P007,Yoga Mat,Sports,S01,Chennai,44,2553.29,5,106727.52,1,1,Thursday,April,Q2,0,,0,Spring,Sunny,0,2608.59,95.99,In-Store,Wholesale,6514.23
103,12-04-2024,P006,Running Shoes,Apparel,S04,Delhi,40,4974.21,10,179071.56,1,1,Friday,April,Q2,0,,0,Spring,Stormy,1,5079.09,96.49,Wholesale,Retail,8601.53
104,13-04-2024,P004,Notebook Pack,Stationery,S04,Delhi,45,2367.46,0,106535.7,1,1,Saturday,April,Q2,0,,1,Spring,Stormy,0,2327.68,96.43,In-Store,Corporate,6818.52
105,14-04-2024,P006,Running Shoes,Apparel,S02,Bengaluru,46,3496.74,5,152807.54,1,1,Sunday,April,Q2,0,,1,Spring,Sunny,0,3212.27,96.45,Wholesale,Corporate,8211.81
106,15-04-2024,P001,Wireless Mouse,Electronics,S03,Mumbai,42,3416.06,5,136300.79,1,1,Monday,April,Q2,0,,0,Spring,Stormy,0,3736.08,104.01,In-Store,Retail,5990.23
107,16-04-2024,P004,Notebook Pack,Stationery,S02,Bengaluru,32,3352.33,0,107274.56,0,1,Tuesday,April,Q2,0,,0,Spring,Clear,0,3094.12,99.18,Online,Corporate,422.58
108,17-04-2024,P001,Wireless Mouse,Electronics,S03,Mumbai,48,338.98,0,16271.04,0,1,Wednesday,April,Q2,0,,0,Spring,Cloudy,0,317.38,97.15,Wholesale,Corporate,34.79
109,18-04-2024,P001,Wireless Mouse,Electronics,S01,Chennai,29,3781.34,0,109658.86,1,1,Thursday,April,Q2,0,,0,Spring,Stormy,0,3522.25,99.67,In-Store,Wholesale,6164.13
110,19-04-2024,P001,Wireless Mouse,Electronics,S02,Bengaluru,70,955.57,10,60200.91,1,1,Friday,April,Q2,0,,0,Spring,Sunny,0,944.7,101.36,Wholesale,Corporate,4434.75
111,20-04-2024,P004,Notebook Pack,Stationery,S01,Chennai,0,1856.83,0,0,0,0,Saturday,April,Q2,0,,1,Spring,Stormy,1,1918.9,95.68,In-Store,Wholesale,27.39
112,21-04-2024,P004,Notebook Pack,Stationery,S03,Mumbai,57,4737.56,20,216032.74,1,1,Sunday,April,Q2,0,,1,Spring,Cloudy,0,4574.7,95.12,Wholesale,Corporate,2169.1
113,22-04-2024,P007,Yoga Mat,Sports,S02,Bengaluru,69,2601.26,20,143589.55,1,1,Monday,April,Q2,0,,0,Spring,Sunny,0,2789.47,95.63,Online,Corporate,9251.04
114,23-04-2024,P006,Running Shoes,Apparel,S04,Delhi,78,2952.32,15,195738.82,1,1,Tuesday,April,Q2,0,,0,Spring,Cloudy,0,2896.24,109.49,Online,Wholesale,4870.92
115,24-04-2024,P006,Running Shoes,Apparel,S01,Chennai,25,2296.22,0,57405.5,0,1,Wednesday,April,Q2,0,,0,Spring,Clear,0,2307.22,100.94,In-Store,Wholesale,169.76
116,25-04-2024,P006,Running Shoes,Apparel,S02,Bengaluru,96,566.62,15,46236.19,1,1,Thursday,April,Q2,0,,0,Spring,Clear,1,531.93,106.64,In-Store,Wholesale,9603.12
117,26-04-2024,P003,Office Chair,Furniture,S02,Bengaluru,43,693.46,0,29818.78,0,1,Friday,April,Q2,0,,0,Spring,Clear,0,729.55,104.83,Online,Wholesale,247.06
118,27-04-2024,P008,Coffee Maker,Appliances,S03,Mumbai,45,4348.38,15,166325.54,1,1,Saturday,April,Q2,0,,1,Spring,Rainy,0,3972.93,101.63,In-Store,Corporate,6118.49
119,28-04-2024,P006,Running Shoes,Apparel,S01,Chennai,75,1689.96,5,120409.65,1,1,Sunday,April,Q2,0,,1,Spring,Sunny,0,1802.07,96.15,Online,Wholesale,6143.76
120,29-04-2024,P007,Yoga Mat,Sports,S04,Delhi,83,2985.58,20,198242.51,1,1,Monday,April,Q2,0,,0,Spring,Stormy,1,3076.24,99.82,In-Store,Wholesale,1933.18
121,30-04-2024,P001,Wireless Mouse,Electronics,S04,Delhi,106,696.81,20,59089.49,1,1,Tuesday,April,Q2,0,,0,Spring,Sunny,1,717.17,95.59,Wholesale,Corporate,9914.37
122,01-05-2024,P003,Office Chair,Furniture,S03,Mumbai,50,1989.69,0,99484.5,1,1,Wednesday,May,Q2,0,,0,Spring,Cloudy,1,1811.56,104.46,In-Store,Retail,3632.06
123,02-05-2024,P007,Yoga Mat,Sports,S03,Mumbai,11,1409.58,20,12404.3,1,0,Thursday,May,Q2,0,,0,Spring,Rainy,0,1291.6,104.95,In-Store,Corporate,9693.12
124,03-05-2024,P007,Yoga Mat,Sports,S02,Bengaluru,0,3056.2,0,0,0,0,Friday,May,Q2,0,,0,Spring,Stormy,0,3247.63,105.05,Wholesale,Wholesale,456.22
125,04-05-2024,P002,Bluetooth Speaker,Electronics,S04,Delhi,38,2640.74,0,100348.12,0,1,Saturday,May,Q2,0,,1,Spring,Rainy,0,2557.15,106.49,Online,Retail,499.99
126,05-05-2024,P003,Office Chair,Furniture,S01,Chennai,118,1619.8,20,152909.12,1,1,Sunday,May,Q2,0,,1,Spring,Clear,1,1728.37,108.26,Online,Wholesale,3699.26
127,06-05-2024,P003,Office Chair,Furniture,S04,Delhi,33,940.41,0,31033.53,0,1,Monday,May,Q2,0,,0,Spring,Sunny,0,914.89,105.79,In-Store,Wholesale,142.46
128,07-05-2024,P008,Coffee Maker,Appliances,S02,Bengaluru,45,2763.25,0,124346.25,1,1,Tuesday,May,Q2,0,,0,Spring,Cloudy,1,3030.98,101.93,In-Store,Corporate,5277.61
129,08-05-2024,P007,Yoga Mat,Sports,S02,Bengaluru,1,4121.08,20,3296.86,1,0,Wednesday,May,Q2,0,,0,Spring,Rainy,0,3751.98,102.21,In-Store,Wholesale,9375.79
130,09-05-2024,P002,Bluetooth Speaker,Electronics,S03,Mumbai,40,602.6,0,24104,0,1,Thursday,May,Q2,0,,0,Spring,Clear,0,642.5,96.38,Online,Corporate,442.31
131,10-05-2024,P001,Wireless Mouse,Electronics,S04,Delhi,63,455.63,10,25834.22,1,1,Friday,May,Q2,0,,0,Spring,Rainy,0,500.69,100.62,Online,Corporate,9342.85
132,11-05-2024,P006,Running Shoes,Apparel,S02,Bengaluru,67,860.48,0,57652.16,1,1,Saturday,May,Q2,0,,1,Spring,Stormy,0,880.33,108.59,Online,Corporate,2548.72
133,12-05-2024,P003,Office Chair,Furniture,S04,Delhi,44,733.7,0,32282.8,0,1,Sunday,May,Q2,0,,1,Spring,Sunny,0,695.32,104.58,Wholesale,Corporate,31.4
134,13-05-2024,P008,Coffee Maker,Appliances,S01,Chennai,51,3233.38,10,148412.14,1,1,Monday,May,Q2,0,,0,Spring,Rainy,0,3187.62,104.22,Online,Wholesale,4457.39
